lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num,,,,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num
1.09E-06,2.72E-06,0.402273781,28.68724969,71.31275031,4.17E-06,3.61E-07,1,,,,2.65E-05,6.55E-05,0.404823069,28.81665868,71.18334132,0.0001007,8.75E-06,1
1.42E-05,3.28E-05,0.432375549,30.18590686,69.81409314,5.17E-05,4.73E-06,2,,,,0.00094325,0.002290565,0.411798171,29.16834569,70.83165431,0.003546225,0.00031241,2
3.61E-07,4.50E-06,0.080309313,7.43391841,92.56608159,4.91E-06,5.02E-08,3,,,,2.31E-07,1.23E-06,0.187640958,15.7994684,84.2005316,1.52E-06,6.36E-08,3
1.18E-05,2.72E-05,0.435000036,30.31359058,69.68640942,4.29E-05,3.95E-06,4,,,,3.75E-06,9.61E-06,0.390120527,28.06379157,71.93620843,1.46E-05,1.23E-06,4
2.55E-06,8.22E-06,0.309770476,23.65074503,76.34925497,1.16E-05,8.04E-07,5,,,,0.000410256,0.000953085,0.430451044,30.09198015,69.90801985,0.001500048,0.000136707,5
0.000491924,0.001130416,0.435170405,30.32186309,69.67813691,0.001786498,0.000164159,6,,,,2.38E-05,5.79E-05,0.411768796,29.16687187,70.83312813,8.96E-05,7.89E-06,6
9.11E-07,2.08E-06,0.437331926,30.42664801,69.57335199,3.30E-06,3.04E-07,7,,,,4.78E-06,2.98E-05,0.160042349,13.79625056,86.20374944,3.59E-05,1.23E-06,7
9.64E-07,5.88E-06,0.163927559,14.08400012,85.91599988,7.10E-06,2.51E-07,8,,,,8.43E-06,3.56E-05,0.237020385,19.16058843,80.83941157,4.65E-05,2.50E-06,8
9.37E-07,2.41E-06,0.388170496,27.96273925,72.03726075,3.66E-06,3.08E-07,9,,,,9.29E-05,0.000212327,0.437725299,30.44568383,69.55431617,0.000336307,3.10E-05,9
3.43E-05,7.95E-05,0.431745287,30.15517431,69.84482569,0.000125196,1.14E-05,10,,,,5.02E-05,0.000114658,0.437725575,30.44569721,69.55430279,0.000181609,1.68E-05,10
2.59E-05,6.46E-05,0.400768333,28.61060772,71.38939228,9.91E-05,8.55E-06,11,,,,0.002969151,0.006792094,0.437148096,30.41774866,69.58225134,0.010752665,0.00099142,11
1.68E-05,3.87E-05,0.432667973,30.20015673,69.79984327,6.11E-05,5.59E-06,12,,,,8.90E-05,0.000203262,0.437636398,30.44138271,69.55861729,0.000321923,2.97E-05,12
