lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num
2.6495753608435387e-05,6.54502068940489e-05,0.4048230687998716,28.816658680420765,71.18334131957923,0.00010070022930941372,8.754268806929445e-06,1
0.000943250416005841,0.0022905648504656755,0.4117981710118693,29.168345693260374,70.83165430673964,0.0035462249306043806,0.00031240966413286403,2
2.3071036348912217e-07,1.2295309412967268e-06,0.18764095781583431,15.79946839833824,84.20053160166177,1.5238135864981747e-06,6.35722817123257e-08,3
3.7485362988331572e-06,9.608662030505005e-06,0.39012052738794734,28.06379157072001,71.93620842927999,1.4589029805168225e-05,1.2318314758300632e-06,4
0.0004102562567761567,0.000953084589307254,0.4304510443027412,30.091980149698877,69.90801985030112,0.0015000481919824069,0.00013670734589899607,5
2.383356529653479e-05,5.7880940811674654e-05,0.4117687957782388,29.16687187091785,70.83312812908214,8.960823325114966e-05,7.893727142940224e-06,6
4.776286794728386e-06,2.984389334301691e-05,0.16004234902702386,13.796250555961004,86.203749444039,3.585207353923647e-05,1.2318934014911708e-06,7
8.431173286536016e-06,3.557151128077562e-05,0.23702038465519415,19.160588426460006,80.83941157354,4.650548756088385e-05,2.5028029935722137e-06,8
9.294089059087171e-05,0.00021232697962451813,0.4377252987596283,30.445683826894328,69.55431617310566,0.0003363068707314646,3.103900051607478e-05,9
5.0188881285788386e-05,0.00011465832499543548,0.43772557542408186,30.445697211372703,69.55430278862728,0.0001816085352446864,1.6761328963462527e-05,10
0.0029691507714819636,0.0067920935757495695,0.437148095556721,30.41774865849013,69.58225134150986,0.010752664827595366,0.0009914204803638327,11
8.89547180322661e-05,0.00020326169962728597,0.43763639778364205,30.441382706943987,69.55861729305602,0.0003219233842276618,2.9706966568109713e-05,12
