lf,hf,c_lf_hf_ratio,c_lfnu,c_hfnu,total_power,vlf,num,,,,lf,hf,r_lf_hf_ratio,r_lfnu,r_hfnu,total_power,vlf,num
1387.226539,2288.671066,0.606127529,37.73844345,62.26155655,4026.23287,350.3352654,cppg0_0,,,,1425.197964,2291.558862,0.621933823,38.34520337,61.65479663,4065.810454,349.0536287,rppg0_0
1509.302946,2158.206125,0.699332158,41.15335278,58.84664722,4071.412135,403.9030642,cppg0_1,,,,1581.843934,2147.105974,0.73673305,42.42062706,57.57937294,4141.431784,412.4818761,rppg0_1
1485.704134,1953.04542,0.760711511,43.20477867,56.79522133,3832.867309,394.1177557,cppg0_2,,,,1573.257762,2053.869068,0.765997106,43.37476565,56.62523435,4024.891953,397.7651236,rppg0_2
1641.808989,1725.16228,0.951683797,48.76219183,51.23780817,3718.5473,351.5760316,cppg0_3,,,,1731.773946,1845.456789,0.938398534,48.41102166,51.58897834,3927.067907,349.8371719,rppg0_3
1523.055143,1811.503623,0.840768477,45.67486284,54.32513716,3659.512452,324.9536858,cppg0_4,,,,1596.177157,1964.312691,0.81258812,44.83026846,55.16973154,3881.199714,320.7098668,rppg0_4
1368.402587,1582.715111,0.864591851,46.36896007,53.63103993,3312.442727,361.32503,cppg0_5,,,,1442.060226,1701.904215,0.847321614,45.8675743,54.1324257,3504.278987,360.3145453,rppg0_5
1564.74152,1461.372222,1.070734408,51.70795461,48.29204539,3362.82105,336.7073077,cppg0_6,,,,1646.447605,1632.39793,1.008606771,50.21424728,49.78575272,3604.21692,325.3713845,rppg0_6
1653.607234,1405.893959,1.176196272,54.04826242,45.95173758,3430.135898,370.6347055,cppg0_7,,,,1732.25877,1660.65026,1.043120765,51.05526717,48.94473283,3750.653635,357.7446046,rppg0_7
1623.954086,1504.554743,1.07935859,51.90824685,48.09175315,3477.605316,349.0964871,cppg0_8,,,,1663.172309,1780.862019,0.93391419,48.29139756,51.70860244,3788.619677,344.5853485,rppg0_8
1937.943065,1497.173233,1.294401357,56.41564642,43.58435358,3817.024405,381.9081073,cppg0_9,,,,2016.071365,1801.976058,1.118811405,52.8037277,47.1962723,4188.415361,370.3679377,rppg0_9
1930.607778,1642.905783,1.175117769,54.02547787,45.97452213,3896.597264,323.083703,cppg0_10,,,,1955.403483,1945.507523,1.00508657,50.12684166,49.87315834,4214.694659,313.7836529,rppg0_10
